model	prompt_file	output_file	status	input_tokens	output_tokens	total_seconds	done_reason	error
llama3.1:8b	PROMPT_01.txt	llama3.1_8b\OUTPUT1.txt	ok	508	14	6.956	stop	
llama3.1:8b	PROMPT_02.txt	llama3.1_8b\OUTPUT2.txt	ok	531	192	4.336	stop	
llama3.1:8b	PROMPT_03.txt	llama3.1_8b\OUTPUT3.txt	ok	562	14	0.409	stop	
llama3.1:8b	PROMPT_04_TEXTO_CON_ERRORES_DE_ORTOGRAFIA.txt	llama3.1_8b\OUTPUT4.txt	ok	558	14	0.402	stop	
llama3.1:8b	PROMPT_05.txt	llama3.1_8b\OUTPUT5.txt	ok	544	14	0.385	stop	
llama3.1:8b	PROMPT_06.txt	llama3.1_8b\OUTPUT6.txt	ok	503	14	0.376	stop	
llama3.1:8b	PROMPT_07.txt	llama3.1_8b\OUTPUT7.txt	ok	496	27	0.658	stop	
llama3.1:8b	PROMPT_08_MULTIPLES_ACTUALIZACIONES.txt	llama3.1_8b\OUTPUT8.txt	ok	523	37	0.834	stop	
llama3.1:8b	PROMPT_09_MEZCLA_ELEMENTOS_SOLICITADOS_Y_ELEMENTOS_NO_REQUERIDOS.txt	llama3.1_8b\OUTPUT9.txt	ok	506	136	3.036	stop	
llama3.1:8b	PROMPT_10_DOS_DIRECCIONES_EN_UN_MENSAJE.txt	llama3.1_8b\OUTPUT10.txt	ok	513	121	2.735	stop	
llama3.1:8b	PROMPT_11_Aviso_de_OFRECIMIENTO_no_de_SOLICITUD.txt	llama3.1_8b\OUTPUT11.txt	ok	483	75	1.741	stop	
llama3.1:8b	PROMPT_12_Aviso_de_NO_NECESIDAD.txt	llama3.1_8b\OUTPUT12.txt	ok	495	104	2.355	stop	
llama3.1:8b	PROMPT_13_CANTIDAD_EN_INTERVALOS.txt	llama3.1_8b\OUTPUT13.txt	ok	503	14	0.371	stop	
llama3.1:8b	PROMPT_14_CANTIDADES_CON_DECIMALES.txt	llama3.1_8b\OUTPUT14.txt	ok	502	108	2.414	stop	
llama3.1:8b	PROMPT_15_UNIDAD_DETALLADA.txt	llama3.1_8b\OUTPUT15.txt	ok	502	146	3.238	stop	
llama3.1:8b	PROMPT_16_DIRECCION_NO_ENTREGADA_SOLO_REFERENCIAS.txt	llama3.1_8b\OUTPUT16.txt	ok	490	14	0.364	stop	
llama3.1:8b	PROMPT_17_AMBIGUEDAD_EN_LA_DIRECCION.txt	llama3.1_8b\OUTPUT17.txt	ok	503	97	2.179	stop	
llama3.1:8b	PROMPT_18.txt	llama3.1_8b\OUTPUT18.txt	ok	508	87	1.943	stop	
llama3.1:8b	PROMPT_19_Urgencia_NO_EXPRESADO_en_suministros.txt	llama3.1_8b\OUTPUT19.txt	ok	498	82	1.838	stop	
llama3.1:8b	PROMPT_20.txt	llama3.1_8b\OUTPUT20.txt	ok	506	93	2.143	stop	
llama3.1:8b	PROMPT_21.txt	llama3.1_8b\OUTPUT21.txt	ok	505	83	1.914	stop	
llama3.1:8b	PROMPT_22.txt	llama3.1_8b\OUTPUT22.txt	ok	526	106	2.404	stop	
llama3.1:8b	PROMPT_23_CANTIDAD_ESPECIFICADA_NO_DIRECTA.txt	llama3.1_8b\OUTPUT23.txt	ok	531	14	0.379	stop	
llama3.1:8b	PROMPT_24.txt	llama3.1_8b\OUTPUT24.txt	ok	531	115	2.595	stop	
