model	prompt_file	output_file	status	input_tokens	output_tokens	total_seconds	done_reason	error
llama3.1:8b	PROMPT_01.txt	llama3.1_8b\OUTPUT1.txt	ok	478	14	6.892	stop	
llama3.1:8b	PROMPT_02.txt	llama3.1_8b\OUTPUT2.txt	ok	501	14	0.395	stop	
llama3.1:8b	PROMPT_03.txt	llama3.1_8b\OUTPUT3.txt	ok	532	14	0.404	stop	
llama3.1:8b	PROMPT_04_TEXTO_CON_ERRORES_DE_ORTOGRAFIA.txt	llama3.1_8b\OUTPUT4.txt	ok	528	14	0.4	stop	
llama3.1:8b	PROMPT_05.txt	llama3.1_8b\OUTPUT5.txt	ok	514	14	0.378	stop	
llama3.1:8b	PROMPT_06.txt	llama3.1_8b\OUTPUT6.txt	ok	473	14	0.37	stop	
llama3.1:8b	PROMPT_07.txt	llama3.1_8b\OUTPUT7.txt	ok	466	14	0.359	stop	
llama3.1:8b	PROMPT_08_MULTIPLES_ACTUALIZACIONES.txt	llama3.1_8b\OUTPUT8.txt	ok	493	44	1.037	stop	
llama3.1:8b	PROMPT_09_MEZCLA_ELEMENTOS_SOLICITADOS_Y_ELEMENTOS_NO_REQUERIDOS.txt	llama3.1_8b\OUTPUT9.txt	ok	476	14	0.36	stop	
llama3.1:8b	PROMPT_10_DOS_DIRECCIONES_EN_UN_MENSAJE.txt	llama3.1_8b\OUTPUT10.txt	ok	483	14	0.366	stop	
llama3.1:8b	PROMPT_11_Aviso_de_OFRECIMIENTO_no_de_SOLICITUD.txt	llama3.1_8b\OUTPUT11.txt	ok	453	14	0.357	stop	
llama3.1:8b	PROMPT_12_Aviso_de_NO_NECESIDAD.txt	llama3.1_8b\OUTPUT12.txt	ok	465	14	0.357	stop	
llama3.1:8b	PROMPT_13_CANTIDAD_EN_INTERVALOS.txt	llama3.1_8b\OUTPUT13.txt	ok	473	14	0.365	stop	
llama3.1:8b	PROMPT_14_CANTIDADES_CON_DECIMALES.txt	llama3.1_8b\OUTPUT14.txt	ok	472	14	0.363	stop	
llama3.1:8b	PROMPT_15_UNIDAD_DETALLADA.txt	llama3.1_8b\OUTPUT15.txt	ok	472	14	0.37	stop	
llama3.1:8b	PROMPT_16_DIRECCION_NO_ENTREGADA_SOLO_REFERENCIAS.txt	llama3.1_8b\OUTPUT16.txt	ok	460	14	0.35	stop	
llama3.1:8b	PROMPT_17_AMBIGUEDAD_EN_LA_DIRECCION.txt	llama3.1_8b\OUTPUT17.txt	ok	473	15	0.386	stop	
llama3.1:8b	PROMPT_18.txt	llama3.1_8b\OUTPUT18.txt	ok	478	14	0.365	stop	
llama3.1:8b	PROMPT_19_Urgencia_NO_EXPRESADO_en_suministros.txt	llama3.1_8b\OUTPUT19.txt	ok	468	14	0.36	stop	
llama3.1:8b	PROMPT_20.txt	llama3.1_8b\OUTPUT20.txt	ok	476	14	0.375	stop	
llama3.1:8b	PROMPT_21.txt	llama3.1_8b\OUTPUT21.txt	ok	475	14	0.366	stop	
llama3.1:8b	PROMPT_22.txt	llama3.1_8b\OUTPUT22.txt	ok	496	130	2.902	stop	
llama3.1:8b	PROMPT_23_CANTIDAD_ESPECIFICADA_NO_DIRECTA.txt	llama3.1_8b\OUTPUT23.txt	ok	501	14	0.381	stop	
llama3.1:8b	PROMPT_24.txt	llama3.1_8b\OUTPUT24.txt	ok	501	14	0.382	stop	
